	GSM1194697	GSM1194698	GSM1194699
ENSG00000121410	218	229	68
ENSG00000148584	13	8	14
ENSG00000175899	344	1048	387
ENSG00000166535	51	30	32
ENSG00000256069	0	0	0
ENSG00000184389	0	0	0
ENSG00000128274	294	240	79
ENSG00000118017	0	0	0
ENSG00000094914	224	18	2
ENSG00000081760	494	284	333
ENSG00000250420	8	0	4
ENSG00000114771	95	65	37
ENSG00000261846	338	203	369
ENSG00000188984	7	4	9
ENSG00000204518	0	0	0
ENSG00000240602	232	324	84
ENSG00000109576	47	87	100
ENSG00000103591	366	480	193
ENSG00000115977	2383	1821	1593
ENSG00000087884	199	151	74
ENSG00000127837	104	160	91
ENSG00000129673	1	1	11
ENSG00000131043	513	114	112
ENSG00000205002	60	69	32
ENSG00000124608	103	193	88
ENSG00000266967	43	39	41
ENSG00000157426	134	55	149
ENSG00000149313	383	411	126
ENSG00000008311	118	18	144
ENSG00000276072	136	32	40
ENSG00000181409	0	0	0
ENSG00000183044	284	343	58
ENSG00000165029	732	1031	917
ENSG00000154263	42	0	8
ENSG00000251595	12	0	0
ENSG00000144452	1671	1882	549
ENSG00000179869	9275	8212	5876
ENSG00000238098	12	0	1
ENSG00000107331	24	6	9
ENSG00000167972	57	74	4
ENSG00000198691	22	19	5
ENSG00000154265	353	303	357
ENSG00000154262	64	60	60
ENSG00000064687	230	23	183
ENSG00000141338	31	40	25
ENSG00000154258	134	96	88
ENSG00000085563	0	0	0
ENSG00000135776	226	176	33
ENSG00000281173	0	0	0
ENSG00000282479	0	0	0
ENSG00000274192	0	0	0
ENSG00000276582	11	0	0
ENSG00000005471	20	1	0
ENSG00000004846	41	64	22
ENSG00000115657	131	91	127
ENSG00000131269	132	652	61
ENSG00000197150	83	71	46
ENSG00000150967	162	157	47
ENSG00000278183	2502	2337	1463
ENSG00000124574	323	120	143
ENSG00000121270	29	227	12
ENSG00000140798	0	0	0
ENSG00000243064	26	10	15
ENSG00000023839	270	167	7
ENSG00000108846	1205	521	254
ENSG00000125257	313	48	225
ENSG00000114770	2333	1014	827
ENSG00000275331	110	78	77
ENSG00000256340	14	0	0
ENSG00000273808	14	2	0
ENSG00000006071	0	0	0
ENSG00000069431	789	878	268
ENSG00000101986	70	7	21
ENSG00000288143	0	0	0
ENSG00000261233	0	0	0
ENSG00000225293	1	0	0
ENSG00000214330	0	0	0
ENSG00000173208	0	0	0
ENSG00000117528	551	391	142
ENSG00000119688	357	1320	423
ENSG00000164163	951	1261	222
ENSG00000236149	705	726	336
ENSG00000033050	782	266	392
ENSG00000242159	0	1	0
ENSG00000228769	0	0	0
ENSG00000161204	612	797	138
ENSG00000160179	253	158	525
ENSG00000118777	4	0	0
ENSG00000172350	0	0	0
ENSG00000138075	9	14	5
ENSG00000143921	0	0	0
ENSG00000143994	73	92	73
ENSG00000144827	216	338	234
ENSG00000106077	789	1455	308
ENSG00000100997	390	286	94
ENSG00000131969	98	139	109
ENSG00000139826	146	129	24
ENSG00000248487	235	38	317
ENSG00000114786	0	0	0
ENSG00000114779	234	11	74
ENSG00000168792	142	41	25
ENSG00000231488	157	386	168
ENSG00000183260	0	0	0
ENSG00000129968	151	92	13
ENSG00000198658	5	0	0
ENSG00000250536	0	0	0
ENSG00000229107	0	0	0
ENSG00000263366	0	0	0
ENSG00000226981	10	0	0
ENSG00000260864	0	0	0
ENSG00000260540	0	0	0
ENSG00000261536	0	0	0
ENSG00000107362	47	89	294
ENSG00000136379	1167	1590	648
ENSG00000164074	458	217	349
ENSG00000140526	9278	9116	2598
ENSG00000158201	210	155	34
ENSG00000100439	500	239	99
ENSG00000011198	128	57	148
ENSG00000163686	3	13	2
ENSG00000127220	29	0	0
ENSG00000136754	1553	3387	821
ENSG00000138443	1607	1568	786
ENSG00000108798	39	21	47
ENSG00000154175	88	164	97
ENSG00000097007	442	98	130
ENSG00000143322	1243	1659	601
ENSG00000099204	4984	3808	2097
ENSG00000163995	4	12	0
ENSG00000173210	166	205	6
ENSG00000281879	69	219	12
ENSG00000276016	979	545	290
ENSG00000174429	9	0	19
ENSG00000146386	25	33	15
ENSG00000146109	258	144	132
ENSG00000250496	27	0	1
ENSG00000114626	61	67	5
ENSG00000166016	216	135	86
ENSG00000060971	75	40	42
ENSG00000167315	99	399	39
ENSG00000275176	1075	330	294
ENSG00000076555	294	155	195
ENSG00000111271	221	125	79
ENSG00000240303	311	90	44
ENSG00000151498	309	105	107
ENSG00000177646	374	208	240
ENSG00000115361	8	0	16
ENSG00000117054	157	203	52
ENSG00000122971	14	121	2
ENSG00000196177	267	179	183
ENSG00000072778	1322	1239	1226
ENSG00000157766	7	19	7
ENSG00000288169	75	53	68
ENSG00000114331	2711	1947	1150
ENSG00000131584	73	26	24
ENSG00000075239	142	89	96
ENSG00000120437	189	151	82
ENSG00000182827	794	1019	707
ENSG00000181513	20	9	38
ENSG00000107897	669	465	293
ENSG00000230124	201	174	91
ENSG00000176244	113	66	61
ENSG00000110455	64	143	6
ENSG00000205126	0	0	0
ENSG00000102977	10	0	3
ENSG00000159640	76	11	28
ENSG00000130234	78	0	1
